Gene,Name,baseMean,baseMean_N2_20C,baseMean_N2_34C,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00001031,dnj-13,13891.39431,5142.930381,22639.78832,2.064640164,0.152518277,13.53700159,9.46E-42,2.94E-39
WBGene00003068,lrk-1,1154.468937,1603.315449,706.4057241,-1.169639704,0.086766181,-13.48036409,2.04E-41,6.25E-39
WBGene00011717,T11G6.2,636.8318734,941.2934287,333.5326459,-1.470905911,0.109126527,-13.47890338,2.08E-41,6.27E-39
WBGene00008944,F19B2.5,4588.620159,762.4192647,8414.404042,3.161581509,0.23585164,13.40495875,5.66E-41,1.68E-38
WBGene00013055,Y50E8A.12,67.57638929,5.775098363,129.4578935,3.809529901,0.28516317,13.35912312,1.05E-40,3.06E-38
WBGene00001616,glr-5,260.0061916,407.5747923,112.5276873,-1.806528205,0.135494414,-13.33286109,1.49E-40,4.28E-38
WBGene00004484,rps-15,68510.59234,46794.27654,90226.38596,0.940262929,0.071450531,13.15963523,1.50E-39,4.24E-37
WBGene00013901,ugt-16,1611.771736,2518.05154,706.8128057,-1.783240334,0.135888827,-13.12278844,2.44E-39,6.80E-37
WBGene00006728,ubq-2,60705.9057,42961.19807,78448.29921,0.863284382,0.065923921,13.09516134,3.51E-39,9.65E-37
WBGene00016458,C35E7.6,78.67122387,11.79686304,145.7084682,3.252994898,0.248499407,13.09055398,3.73E-39,1.01E-36
WBGene00219917,F26D10.24,94.71936681,5.846605348,183.8543706,4.045153301,0.310175608,13.04149389,7.11E-39,1.90E-36
WBGene00022100,Y69A2AR.31,568.4538515,805.8350556,332.0645875,-1.261486095,0.097302133,-12.96462941,1.94E-38,5.12E-36
WBGene00044068,syd-9,861.9839731,1179.817741,544.8915523,-1.102863804,0.085143975,-12.95292834,2.26E-38,5.88E-36
WBGene00012621,Y38H6C.8,206.0771542,14.35812022,398.0768891,3.972225582,0.306780598,12.9480991,2.41E-38,6.17E-36
WBGene00001160,efk-1,2268.712651,1316.886904,3221.176027,1.272329281,0.098487624,12.91867173,3.53E-38,8.93E-36
WBGene00012195,bath-34,190.5950233,14.15353222,367.564161,3.917143715,0.303688969,12.89853802,4.59E-38,1.15E-35
WBGene00015463,hpo-9,487.382406,699.6043778,274.2494685,-1.330099204,0.103295188,-12.87668124,6.09E-38,1.50E-35
WBGene00019233,ugt-14,134.1599973,10.89572376,256.9470015,3.826838899,0.297746881,12.85265824,8.31E-38,2.02E-35
WBGene00004265,qui-1,305.5256102,453.4647598,157.5344724,-1.495128197,0.116433776,-12.84101788,9.66E-38,2.32E-35
WBGene00004924,snt-4,1882.62751,2571.633131,1193.674145,-1.095597352,0.085489248,-12.81561566,1.34E-37,3.18E-35
WBGene00008411,mans-1,1247.486179,1742.386947,753.6131308,-1.193796487,0.093760894,-12.73234971,3.91E-37,9.16E-35
WBGene00022270,Y73E7A.3,353.7655346,519.5400458,188.1699332,-1.437916982,0.113000931,-12.72482422,4.30E-37,9.96E-35
WBGene00018725,kreg-1,184.1265107,8.077357403,360.1959993,4.244633327,0.336767103,12.60406165,2.01E-36,4.58E-34
WBGene00015232,B0511.6,7383.097089,5342.495069,9422.203514,0.813642764,0.064611266,12.59289307,2.31E-36,5.22E-34
WBGene00008924,F17E5.2,647.9435134,915.9335705,378.9247754,-1.254754213,0.100261846,-12.51477268,6.20E-36,1.38E-33
WBGene00014210,ZK1067.4,139.2986933,232.8587066,45.27289635,-2.245616618,0.180133824,-12.46637952,1.14E-35,2.51E-33
WBGene00010356,famk-1,906.4927363,1300.913259,511.1532961,-1.325492847,0.106466118,-12.44990302,1.40E-35,3.05E-33
WBGene00013155,Y53F4B.8,92.03470176,0.55509346,183.9379251,4.685361943,0.377158835,12.42278189,1.97E-35,4.24E-33
WBGene00018838,F54G2.2,67.68199425,8.827681839,126.9529138,3.351673219,0.271473069,12.34624573,5.10E-35,1.09E-32
WBGene00220000,K02F2.11,109.7074424,13.79099619,205.64804,3.392352892,0.275127806,12.33009829,6.24E-35,1.31E-32
WBGene00006633,tsp-7,342.5229998,564.2326457,119.7211931,-2.135317303,0.173349861,-12.31796372,7.25E-35,1.51E-32
WBGene00000585,cogc-2,778.3025914,1028.336277,529.0759606,-0.950456873,0.077570113,-12.25287464,1.62E-34,3.34E-32
WBGene00009799,lgc-47,188.9267914,298.5946409,79.25844342,-1.848501407,0.15112626,-12.23150368,2.11E-34,4.30E-32
WBGene00021909,Y55B1BL.1,1689.623821,1164.465023,2214.008029,0.919390432,0.075482071,12.18024911,3.96E-34,7.99E-32
WBGene00018854,nlf-1,443.5189435,640.548457,246.2788971,-1.354016653,0.111555415,-12.13761475,6.67E-34,1.33E-31
WBGene00001075,dpy-14,48.489364,2.20934602,94.60212485,4.041671047,0.335054499,12.06272729,1.66E-33,3.28E-31
WBGene00015811,C16A3.6,3678.690626,2665.537706,4691.702253,0.81034427,0.067499943,12.00511041,3.34E-33,6.53E-31
WBGene00219916,F26D10.23,40.04467977,0.298570815,79.52827045,4.413759248,0.367968565,11.99493561,3.78E-33,7.31E-31
WBGene00012097,abcf-2,16766.28913,12736.89888,20795.20515,0.703733437,0.058760464,11.97630832,4.73E-33,9.06E-31
WBGene00002018,hsp-16.41,30414.2414,11.07000225,60817.17103,4.839745747,0.404254941,11.97201385,4.98E-33,9.45E-31
WBGene00006662,twk-7,431.4304851,676.8836583,186.1970106,-1.799511469,0.150626024,-11.94688292,6.74E-33,1.27E-30
WBGene00007605,hrg-7,5405.95083,7755.66536,3055.292081,-1.320039507,0.110603714,-11.93485694,7.79E-33,1.44E-30
WBGene00010597,K06A4.7,600.8862547,1074.237475,126.8038518,-2.812028051,0.235617701,-11.93470626,7.80E-33,1.44E-30
WBGene00009178,uggt-2,103.1970178,13.70451437,192.651804,3.3037935,0.278197996,11.87569121,1.58E-32,2.89E-30
WBGene00007631,wht-3,55.50775079,2.492651457,108.9233269,4.034232847,0.340133503,11.86073355,1.89E-32,3.42E-30
WBGene00015767,hex-2,1215.798836,1546.084975,885.5869966,-0.798628207,0.067631868,-11.8084599,3.53E-32,6.32E-30
WBGene00004427,rpl-15,77092.49016,59030.08172,95155.64143,0.685465044,0.058430445,11.73129938,8.81E-32,1.56E-29
WBGene00016094,C25E10.4,243.9508949,407.4874686,79.94024594,-2.219792828,0.190219449,-11.66964179,1.82E-31,3.20E-29
WBGene00014101,gopc-1,164.9520062,275.3324867,55.13239223,-2.195026532,0.188234758,-11.66111165,2.01E-31,3.51E-29
WBGene00000054,acr-15,187.0874195,290.5472198,84.2164973,-1.727839977,0.148872026,-11.60620983,3.83E-31,6.55E-29
WBGene00013740,hut-1,1039.610646,1445.128166,632.3186101,-1.174744536,0.101215989,-11.60631382,3.83E-31,6.55E-29
WBGene00003849,odr-2,153.2897286,240.5629957,65.89400604,-1.80101566,0.155190242,-11.60521198,3.88E-31,6.57E-29
WBGene00006757,unc-18,2228.119904,2943.832725,1511.158748,-0.952652819,0.082253212,-11.58195283,5.09E-31,8.54E-29
WBGene00002243,lad-2,359.4010887,542.5516262,177.4071719,-1.569131235,0.135596786,-11.57203858,5.71E-31,9.50E-29
WBGene00020605,lgc-50,285.5422702,432.4954565,138.0147226,-1.60125823,0.138485496,-11.56264217,6.37E-31,1.05E-28
WBGene00015809,C16A3.4,3328.866601,2379.293312,4278.18546,0.840030834,0.072696603,11.55529699,6.94E-31,1.14E-28
WBGene00008977,iglr-1,102.8579904,176.7281706,28.79211533,-2.432925587,0.211520335,-11.50208837,1.29E-30,2.09E-28
WBGene00007555,dohh-1,2143.505032,1588.565706,2697.691648,0.759213372,0.066038016,11.49661079,1.37E-30,2.21E-28
WBGene00004421,rpl-10,129578.3961,87167.01687,171989.6488,0.9703755,0.084474755,11.48716554,1.53E-30,2.44E-28
WBGene00008918,pigt-1,578.0461107,803.6561854,351.8017489,-1.173639416,0.102488789,-11.45139317,2.31E-30,3.66E-28
WBGene00010329,pcdr-1,173.1821304,265.9121715,80.13601757,-1.675260335,0.146533725,-11.43259231,2.87E-30,4.51E-28
WBGene00004482,rps-13,51384.15368,35210.91617,67555.17783,0.931023139,0.08159112,11.41083902,3.69E-30,5.74E-28
WBGene00018117,nlp-47,358.6897765,515.8219558,202.6075938,-1.321196551,0.117218637,-11.27121573,1.82E-29,2.81E-27
WBGene00004361,rib-2,461.6446622,629.050412,295.4487571,-1.075865845,0.09556344,-11.2581322,2.11E-29,3.23E-27
WBGene00014793,H40L08.2,2092.066988,1083.435119,3101.164806,1.478809141,0.13141672,11.2528234,2.24E-29,3.40E-27
WBGene00006818,unc-86,226.0775401,347.2179191,104.1092239,-1.679977196,0.149543497,-11.23403714,2.78E-29,4.18E-27
WBGene00009100,rgef-1,294.669398,429.7587639,159.846748,-1.394450442,0.124554686,-11.19548759,4.29E-29,6.41E-27
WBGene00019006,spg-20,389.920735,196.9724292,582.3032798,1.521309118,0.135974227,11.18821673,4.66E-29,6.90E-27
WBGene00004424,rpl-12,62748.92254,46891.13045,78604.08904,0.740545748,0.066558126,11.12630113,9.34E-29,1.37E-26
WBGene00008920,eef-1G,59846.4335,47150.87481,72539.75137,0.618726084,0.055662535,11.1156649,1.05E-28,1.54E-26
WBGene00009958,madd-4,1401.268781,1881.446765,921.3543778,-1.017524775,0.091600886,-11.10824164,1.14E-28,1.66E-26
WBGene00008656,lron-5,160.6967895,264.0886241,56.9659576,-2.092013024,0.188885434,-11.07556565,1.65E-28,2.37E-26
WBGene00006552,tbx-33,43.66347791,0.298570921,87.32400893,4.228382201,0.381852022,11.07335292,1.69E-28,2.41E-26
WBGene00006772,unc-36,1118.343219,1521.77665,715.0711722,-1.074715701,0.09713195,-11.06449213,1.87E-28,2.64E-26
WBGene00006324,sup-17,1681.869617,2111.661678,1252.472438,-0.748598851,0.067951399,-11.01668044,3.18E-28,4.46E-26
WBGene00019185,H10E21.5,380.2152721,537.1337345,222.9045847,-1.245195988,0.11312708,-11.00705497,3.53E-28,4.93E-26
WBGene00010303,cri-3,12619.12956,10376.10819,14862.42284,0.516751398,0.047178671,10.95307234,6.42E-28,8.89E-26
WBGene00022519,ZC123.4,409.8463893,607.416015,211.1741237,-1.482895681,0.135714888,-10.92655125,8.61E-28,1.18E-25
WBGene00006690,twk-39,255.4727887,379.2756421,132.5180092,-1.476220667,0.135327741,-10.90848523,1.05E-27,1.43E-25
WBGene00001580,gex-3,927.4240378,1248.578234,607.6551753,-1.025660727,0.094099806,-10.89971133,1.16E-27,1.57E-25
WBGene00000549,cls-2,3402.24752,1744.235036,5061.771905,1.494610349,0.137135287,10.89880205,1.17E-27,1.57E-25
WBGene00004344,rgs-1,132.955723,210.6210969,54.76751127,-1.85779025,0.170597005,-10.88993475,1.29E-27,1.72E-25
WBGene00013483,nhr-241,36.14626856,0.153291669,72.59665871,4.197532915,0.385809743,10.87980019,1.44E-27,1.91E-25
WBGene00013077,ttr-24,2105.010501,1567.714745,2640.273904,0.746925487,0.06867121,10.8768359,1.49E-27,1.96E-25
WBGene00016428,dmsr-7,135.7423909,217.4815941,53.4408425,-1.928200185,0.177407964,-10.86873523,1.62E-27,2.13E-25
WBGene00000958,dgk-1,788.4132577,1050.864879,525.8025594,-0.987046232,0.090918331,-10.85640506,1.86E-27,2.42E-25
WBGene00003511,mxl-3,1887.980737,2587.098437,1188.227489,-1.105623564,0.101894485,-10.85067132,1.98E-27,2.55E-25
WBGene00002123,inx-1,1053.13808,1510.718886,597.2314651,-1.310346022,0.120884784,-10.83962744,2.23E-27,2.86E-25
WBGene00015425,C04E6.11,1025.394483,1358.907594,692.2920495,-0.96192025,0.088767415,-10.83641165,2.31E-27,2.95E-25
WBGene00045366,Y17D7C.3,360.0611203,107.5693592,613.5927045,2.330440313,0.216294782,10.77437142,4.55E-27,5.75E-25
WBGene00001398,fat-6,15494.88459,10907.26361,20084.28558,0.872449704,0.081001228,10.7708207,4.73E-27,5.94E-25
WBGene00002132,inx-10,295.8702121,428.1793869,162.3592367,-1.3659739,0.12683275,-10.76988317,4.78E-27,5.96E-25
WBGene00000036,ace-2,1190.012332,1579.159359,802.4564144,-0.965322339,0.089680893,-10.7639688,5.09E-27,6.31E-25
WBGene00004486,rps-17,69456.04485,46844.89042,92066.60902,0.963481539,0.089607227,10.7522749,5.78E-27,7.12E-25
WBGene00004426,rpl-14,67532.38137,44270.33239,90792.70252,1.022651375,0.095198295,10.74232865,6.44E-27,7.88E-25
WBGene00006445,tag-68,262.0458865,410.7759488,114.1794939,-1.771817202,0.165274913,-10.72042432,8.16E-27,9.93E-25
WBGene00022856,cth-2,4352.691729,5810.093876,2893.804912,-0.993089604,0.092734371,-10.70897012,9.24E-27,1.12E-24
WBGene00018871,F55C12.4,180.0519865,275.3259226,84.1206588,-1.650045343,0.154138632,-10.70494347,9.65E-27,1.16E-24
WBGene00004740,scd-2,371.6212517,506.0347685,236.7195217,-1.079868637,0.100882997,-10.70416884,9.73E-27,1.16E-24
WBGene00006068,sto-6,121.7184516,202.7395825,40.67540347,-2.16919473,0.20296407,-10.68757998,1.16E-26,1.38E-24
WBGene00010962,ctc-3,96119.53528,56300.02176,135939.8612,1.246529889,0.116711673,10.68042177,1.26E-26,1.48E-24
WBGene00001637,gly-12,591.1433258,832.7005543,348.2259808,-1.233240966,0.115610855,-10.66717278,1.45E-26,1.70E-24
WBGene00016918,test-1,4959.574289,3975.330904,5944.957598,0.578143553,0.054234106,10.66014714,1.56E-26,1.82E-24
WBGene00017075,nap-1,24513.95664,18545.49201,30482.5407,0.712303128,0.066909629,10.6457492,1.83E-26,2.11E-24
WBGene00012811,slcr-46.2,168.6158179,269.4820294,68.28674306,-1.885807919,0.178005737,-10.59408505,3.17E-26,3.65E-24
WBGene00004738,scc-3,1212.684828,1509.608276,915.4295502,-0.71689094,0.067754482,-10.58071611,3.66E-26,4.18E-24
WBGene00001594,glc-4,246.1097147,359.298483,133.7343333,-1.389691765,0.131441238,-10.57272269,3.99E-26,4.53E-24
WBGene00008502,skih-2,1116.571345,1428.214245,804.2694802,-0.821251918,0.077709115,-10.56828296,4.18E-26,4.72E-24
WBGene00004418,rpl-7,111447.0005,83057.63207,139838.5966,0.74613795,0.070947948,10.51669529,7.24E-26,8.12E-24
WBGene00009783,rer-1,1983.864145,2724.58848,1242.664387,-1.114032079,0.106257113,-10.48430588,1.02E-25,1.14E-23
WBGene00001983,hoe-1,1692.442714,2200.367232,1183.858857,-0.885018927,0.084560449,-10.4661096,1.24E-25,1.37E-23
WBGene00010575,flp-25,152.7521548,237.5364012,68.1041109,-1.728413199,0.165427104,-10.44818626,1.49E-25,1.65E-23
WBGene00008783,F14B6.2,160.5500307,260.9927619,61.20218715,-1.978259522,0.18949118,-10.43985016,1.63E-25,1.79E-23
WBGene00017557,nep-11,669.7453881,943.6689954,395.243111,-1.229904341,0.11829168,-10.39721767,2.55E-25,2.78E-23
WBGene00008997,lgc-31,190.5189655,293.7817893,88.20504412,-1.669051014,0.160735188,-10.38385577,2.94E-25,3.18E-23
WBGene00004441,rpl-27,74497.21547,52182.93063,96811.49611,0.882292827,0.085066071,10.37185347,3.33E-25,3.57E-23
WBGene00004443,rpl-29,32180.8685,21391.61914,42970.27937,0.992951479,0.095730351,10.37237897,3.31E-25,3.57E-23
WBGene00008819,shw-1,452.1379991,614.0857542,289.7760479,-1.066849568,0.102890682,-10.36876761,3.44E-25,3.67E-23
WBGene00010965,ctc-2,55873.72444,32950.64031,78797.46546,1.231895105,0.118962137,10.35535451,3.96E-25,4.19E-23
WBGene00004476,rps-7,111102.9415,76208.67229,145994.7183,0.9270196,0.089577031,10.3488538,4.24E-25,4.46E-23
WBGene00004447,rpl-33,42344.98927,30920.59112,53767.3303,0.79142641,0.076559226,10.3374401,4.77E-25,5.00E-23
WBGene00015478,mapk-15,134.8284499,213.1011085,56.85737962,-1.817078594,0.175826442,-10.33450133,4.92E-25,5.13E-23
WBGene00219841,C30C11.14,34.51066526,0.153291675,68.86791543,4.032737516,0.391419388,10.30285582,6.84E-25,7.09E-23
WBGene00009774,F46B6.9,77.48446541,134.0322488,20.79947539,-2.441973084,0.237388486,-10.28682191,8.08E-25,8.33E-23
WBGene00004369,rig-1,444.4093673,589.6131494,298.9295493,-0.967386765,0.094149612,-10.27499467,9.13E-25,9.37E-23
WBGene00015704,tiam-1,268.2846742,376.8933908,159.0530376,-1.219024386,0.118682754,-10.271285,9.49E-25,9.68E-23
WBGene00006066,sto-4,611.7925265,788.1187089,435.2252422,-0.848199453,0.082693868,-10.25710216,1.10E-24,1.12E-22
WBGene00019668,fil-2,51.8823786,7.765137785,96.10467957,3.046267318,0.298239613,10.21416064,1.71E-24,1.73E-22
WBGene00018700,lmd-3,3850.149135,2255.956673,5445.219643,1.243571879,0.122142333,10.1813339,2.40E-24,2.41E-22
WBGene00005023,sqv-5,892.5423001,1181.665494,603.1478114,-0.957803367,0.094113312,-10.17712953,2.51E-24,2.50E-22
WBGene00005078,src-2,657.2556977,885.2216871,428.3452421,-1.031591705,0.101542904,-10.15917078,3.02E-24,3.00E-22
WBGene00003844,odc-1,3420.106485,2128.047298,4711.140826,1.125983163,0.111060355,10.13847981,3.73E-24,3.68E-22
WBGene00001669,gpa-7,336.5068183,504.6089818,168.125656,-1.531777179,0.151302861,-10.12391414,4.33E-24,4.25E-22
WBGene00006750,unc-10,709.9976944,937.9887974,480.4947917,-0.952659127,0.094154985,-10.11798926,4.60E-24,4.50E-22
WBGene00010192,F57B7.2,341.7763568,535.2356179,149.3182028,-1.75832013,0.173906387,-10.11072771,4.95E-24,4.82E-22
WBGene00003149,mbk-1,866.6851738,1118.258252,616.6542882,-0.84994938,0.084169421,-10.09807807,5.63E-24,5.45E-22
WBGene00012226,W03G11.4,929.3874911,1284.183406,575.768117,-1.135934778,0.112640332,-10.08461852,6.46E-24,6.22E-22
WBGene00008922,F17C11.11,927.9425243,227.0657757,1629.48614,2.550870064,0.253638825,10.0570962,8.55E-24,8.19E-22
WBGene00015801,C15H9.5,585.8878866,791.659673,378.8071433,-1.046674656,0.104083333,-10.05612167,8.63E-24,8.23E-22
WBGene00010558,ptp-4,232.9458451,364.8074267,101.8295953,-1.755695656,0.175590099,-9.998830613,1.54E-23,1.46E-21
WBGene00021507,Y41D4A.5,1585.230344,1903.325787,1266.625255,-0.584647984,0.058495361,-9.994775183,1.61E-23,1.52E-21
WBGene00004483,rps-14,76861.63311,53915.46248,99806.24657,0.878519821,0.087905167,9.993949758,1.62E-23,1.52E-21
WBGene00016800,C50C3.2,48.49368486,6.158909054,90.89204765,3.145852381,0.316334071,9.944715645,2.66E-23,2.49E-21
WBGene00009634,nspc-9,714.5078437,512.6731806,916.9621194,0.830377469,0.083565892,9.936798933,2.88E-23,2.68E-21
WBGene00017921,F29B9.5,126.6595579,39.01730878,213.8947193,2.254733521,0.227389518,9.915732015,3.56E-23,3.29E-21
WBGene00018760,irg-3,275.0598874,404.3880616,145.30484,-1.431075818,0.144547422,-9.900389777,4.15E-23,3.82E-21
WBGene00004921,snt-1,1068.74004,1416.375759,719.3825217,-0.963929035,0.097430953,-9.893457956,4.44E-23,4.07E-21
WBGene00011737,sqst-1,3596.858829,1469.365004,5725.170994,1.857677304,0.187842866,9.889528094,4.62E-23,4.22E-21
WBGene00009823,gadr-6,161.2495805,245.496247,76.51633032,-1.614448032,0.163527107,-9.872663081,5.47E-23,4.96E-21
WBGene00009156,clec-196,58.66154567,9.49952704,107.7861462,2.943668298,0.299023792,9.84426116,7.26E-23,6.54E-21
WBGene00018985,F56F10.2,138.6478154,214.3076865,62.43603442,-1.699164075,0.172609232,-9.843993004,7.28E-23,6.54E-21
WBGene00012618,dct-10,88.37124438,1.639306837,175.5814393,3.873093736,0.393894248,9.832826329,8.13E-23,7.28E-21
WBGene00004452,rpl-38,40312.9238,27360.56065,53265.16989,0.948152178,0.096467697,9.82870128,8.47E-23,7.54E-21
WBGene00220041,R11A5.8,25.19218352,0.298570652,50.13837054,3.785796091,0.385210382,9.827866204,8.54E-23,7.57E-21
