Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_S-macescens_Db10,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00013207,zipt-2.3,414.3155434,4.602433007,685.036157,6.885396841,0.358563043,19.20275103,3.51E-82,5.73E-80
WBGene00005017,sqt-2,831.8826957,88.35391298,1320.199876,3.852305707,0.201199049,19.14673918,1.03E-81,1.66E-79
WBGene00016088,clec-266,1153.680468,2492.441753,251.598376,-3.278186204,0.171375914,-19.12862852,1.46E-81,2.33E-79
WBGene00020128,R193.2,814.1639676,80.88331861,1311.706827,3.966980288,0.207799688,19.09040539,3.03E-81,4.80E-79
WBGene00007958,C35C5.9,2531.100898,5560.029218,498.0327789,-3.445603826,0.180520001,-19.08710282,3.23E-81,5.06E-79
WBGene00044772,T23E7.6,644.8048265,1440.580743,120.0976925,-3.545752044,0.187179246,-18.94308331,5.04E-80,7.81E-78
WBGene00007758,C27A7.8,1178.900322,2456.487139,323.2850092,-2.904438508,0.153692608,-18.89771113,1.19E-79,1.83E-77
WBGene00006351,sur-5,1782.465435,339.426742,2752.588868,2.996059568,0.159365188,18.79996251,7.56E-79,1.15E-76
WBGene00011800,T16G1.6,413.7103974,16.26869168,686.4122868,5.26339047,0.28074427,18.74798895,2.01E-78,3.03E-76
WBGene00000022,abt-4,1824.703999,350.1352367,2799.076315,2.974901078,0.160364753,18.55084127,8.03E-77,1.20E-74
WBGene00011803,T16G12.1,549.6957328,49.93452766,890.4890124,4.094248281,0.221463812,18.48721127,2.62E-76,3.87E-74
WBGene00000218,asp-5,43526.02281,11093.59248,65138.77673,2.538935605,0.137537848,18.45990499,4.34E-76,6.35E-74
WBGene00013037,Y49E10.18,934.7716582,169.1968994,1447.258427,3.069958398,0.166779846,18.40725046,1.15E-75,1.67E-73
WBGene00005016,sqt-1,992.6387935,154.241121,1542.534353,3.288401244,0.179738771,18.29544746,9.00E-75,1.29E-72
WBGene00009432,cld-9,484.2750048,45.58934239,783.8863996,4.041605452,0.221607656,18.2376617,2.59E-74,3.69E-72
WBGene00017484,F15E6.3,445.9341094,1014.136271,70.10796852,-3.802588721,0.209737068,-18.13026546,1.84E-73,2.59E-71
WBGene00011182,R09H10.5,3665.631164,719.6317289,5641.99009,2.946181191,0.164551431,17.90431827,1.09E-71,1.52E-69
WBGene00016425,C34H4.2,1386.274042,233.572417,2144.856744,3.167371064,0.176907672,17.90409102,1.10E-71,1.52E-69
WBGene00007807,C29F3.7,1052.298564,144.1732323,1668.155374,3.491153238,0.195007256,17.90268378,1.12E-71,1.54E-69
WBGene00008944,F19B2.5,462.880355,54.78330879,739.1762533,3.704191664,0.207295264,17.86915725,2.05E-71,2.79E-69
WBGene00010440,ttr-51,29092.98897,61486.66874,7482.136508,-3.012178326,0.168595709,-17.86628108,2.16E-71,2.91E-69
WBGene00011222,R10H10.3,2026.581376,324.1835632,3173.860299,3.257847575,0.182409901,17.86003695,2.41E-71,3.23E-69
WBGene00019780,M60.4,3397.999332,6633.549665,1237.262423,-2.408957538,0.135559561,-17.77047318,1.20E-70,1.59E-68
WBGene00004920,snr-7,1925.529134,3835.186007,647.3902541,-2.550293258,0.143672988,-17.75068018,1.70E-70,2.24E-68
WBGene00009396,clec-65,6700.926061,1912.887461,9888.866519,2.357139438,0.133102689,17.70917968,3.56E-70,4.64E-68
WBGene00005005,spp-20,234.786591,578.1227176,10.92855047,-5.540571245,0.316124688,-17.52653765,8.99E-69,1.16E-66
WBGene00008194,C49C3.4,3174.65851,777.0518494,4780.344698,2.603204196,0.148684283,17.50826742,1.24E-68,1.59E-66
WBGene00016943,acdh-1,3718.193799,712.2080719,5735.329908,2.982676445,0.17044149,17.49970878,1.44E-68,1.83E-66
WBGene00019619,asp-14,2631.31914,668.1607879,3945.835501,2.545331906,0.145735937,17.46536895,2.63E-68,3.32E-66
WBGene00016424,C34H4.1,482.1134971,69.61911257,756.9877107,3.401511313,0.196480766,17.31218469,3.81E-67,4.76E-65
WBGene00001993,hpd-1,2988.561521,742.6987091,4494.181915,2.57948143,0.14926521,17.28119651,6.52E-67,8.03E-65
WBGene00044212,Y68A4A.13,2756.74097,5647.785161,838.792576,-2.730232646,0.157989446,-17.28110784,6.53E-67,8.03E-65
WBGene00012407,Y7A5A.1,1961.248173,494.3985337,2945.013592,2.557135812,0.14840799,17.23044569,1.57E-66,1.92E-64
WBGene00004120,pqn-32,737.7699727,121.3745789,1143.721502,3.201528669,0.186044284,17.20842268,2.30E-66,2.78E-64
WBGene00019957,R08E3.1,4320.963283,934.9176405,6590.857109,2.794654345,0.162704628,17.17624373,4.00E-66,4.81E-64
WBGene00006915,vha-6,5546.635131,1663.568755,8138.263727,2.27803101,0.132834637,17.14937503,6.35E-66,7.58E-64
WBGene00019007,ucr-11,6733.661501,12965.25567,2575.18943,-2.318797983,0.135280287,-17.1406939,7.38E-66,8.73E-64
WBGene00014252,ZK1320.2,5177.866549,1548.785998,7598.820752,2.282137621,0.133197812,17.13344673,8.36E-66,9.82E-64
WBGene00012782,Y43C5A.2,2738.232285,699.5157294,4105.469234,2.535796743,0.14863488,17.06057656,2.92E-65,3.40E-63
WBGene00050906,F20E11.17,208.4595478,497.695793,18.36269496,-4.648598925,0.272728138,-17.04480862,3.82E-65,4.42E-63
WBGene00008295,nlp-39,990.1252531,2192.366698,179.1897532,-3.56328132,0.209255667,-17.02836235,5.06E-65,5.81E-63
WBGene00021768,Y51F10.7,7022.56206,1968.026285,10385.90222,2.385299083,0.140199434,17.0136142,6.51E-65,7.42E-63
WBGene00000722,col-149,341.9564184,27.16733565,547.6587982,4.248710636,0.249904907,17.00130933,8.03E-65,9.09E-63
WBGene00007873,dod-21,912.8056394,0.15904755,1512.974833,10.20517954,0.602220662,16.94591397,2.06E-64,2.32E-62
WBGene00012583,clec-4,258.2193861,7.941436057,426.5496584,5.536994443,0.327415818,16.9112002,3.72E-64,4.15E-62
WBGene00012253,clec-50,9325.230797,2362.902138,13957.31947,2.544379033,0.151037045,16.84605938,1.12E-63,1.24E-61
WBGene00009091,F23D12.7,3249.05586,6348.656529,1189.140103,-2.401300182,0.14336196,-16.74991174,5.67E-63,6.24E-61
WBGene00019261,H34I24.2,5496.784192,1252.04059,8314.534157,2.709122152,0.162258247,16.69636032,1.39E-62,1.52E-60
WBGene00000215,asp-2,11563.03258,3542.497686,16917.51383,2.243020521,0.135178633,16.59301081,7.83E-62,8.49E-60
WBGene00019622,K10C2.7,361.9489297,786.5548322,78.71763979,-3.280396097,0.198347966,-16.53859206,1.93E-61,2.08E-59
WBGene00007533,cbl-1,342.8728763,27.68474701,560.1893058,4.248466649,0.257521421,16.49752724,3.82E-61,4.09E-59
WBGene00014253,ZK1320.3,7996.437346,2099.497472,11939.30148,2.489990058,0.151250078,16.46273572,6.80E-61,7.22E-59
WBGene00007833,oac-6,340.7633572,24.77873266,558.2566905,4.394939041,0.267558474,16.42608801,1.24E-60,1.31E-58
WBGene00000522,clc-1,1211.267525,188.1519383,1905.181481,3.2990249,0.20119333,16.39728764,2.00E-60,2.10E-58
WBGene00000665,col-90,393.2510859,42.77834511,619.2982474,3.789727279,0.231405448,16.37700113,2.79E-60,2.89E-58
WBGene00008607,F09B12.3,1166.357968,296.7424357,1744.877531,2.536916608,0.154907988,16.37692564,2.80E-60,2.89E-58
WBGene00001399,fat-7,493.7913564,78.59980548,766.4399206,3.2446736,0.198993332,16.3054388,9.03E-60,9.27E-58
WBGene00009237,F28H7.3,690.4882838,136.2104369,1065.595999,2.938073722,0.180645687,16.26428936,1.77E-59,1.80E-57
WBGene00018984,F56F10.1,1383.058827,303.2340578,2113.351939,2.775898114,0.171302029,16.20470068,4.67E-59,4.73E-57
WBGene00012445,Y16B4A.2,2368.112425,702.0121764,3482.567558,2.296315805,0.141825399,16.19114644,5.82E-59,5.86E-57
WBGene00020192,T03F1.11,354.6816619,786.0614735,73.15928415,-3.379599427,0.209108239,-16.16196206,9.35E-59,9.36E-57
WBGene00017969,ctsa-3.1,523.3693676,89.53106094,818.1144545,3.154549001,0.195235197,16.15768597,1.00E-58,9.97E-57
WBGene00012261,lpr-3,792.805076,149.5920749,1213.93643,2.988372702,0.185108441,16.14390291,1.25E-58,1.24E-56
WBGene00019744,M02H5.8,4297.127079,1000.473283,6481.584195,2.672731129,0.165661182,16.13372006,1.48E-58,1.45E-56
WBGene00003982,pes-9,2646.499587,740.0090081,3923.527006,2.390345341,0.148276378,16.1208776,1.82E-58,1.78E-56
WBGene00008494,F01D5.3,223.8769643,7.566694908,362.506682,5.371453357,0.333937727,16.0851947,3.24E-58,3.14E-56
WBGene00018488,acs-1,1502.966894,425.4558453,2220.364935,2.367541313,0.14831786,15.96261786,2.33E-57,2.24E-55
WBGene00022194,Y71H2B.4,2917.721413,5653.643968,1083.667408,-2.36707909,0.148487583,-15.9412595,3.28E-57,3.14E-55
WBGene00007999,tag-297,404.2887994,56.52574161,632.8765077,3.434709403,0.215771972,15.91823708,4.74E-57,4.50E-55
WBGene00012256,lpr-5,389.3765127,54.06963263,613.1363799,3.451009141,0.216820608,15.91642587,4.87E-57,4.61E-55
WBGene00000618,col-41,858.8979906,109.4944279,1346.190723,3.561525951,0.223971858,15.90166721,6.17E-57,5.80E-55
WBGene00014183,ZK1025.3,237.1052913,19.45465487,381.7096705,4.198770081,0.264436401,15.87818496,8.97E-57,8.38E-55
WBGene00009259,hpo-34,9233.11809,3129.286179,13303.84652,2.076956585,0.130891866,15.86772843,1.06E-56,9.84E-55
WBGene00010128,F55G11.8,269.2876633,13.71310184,446.6023356,4.876702442,0.30778624,15.84444594,1.54E-56,1.42E-54
WBGene00001564,icl-1,8768.445889,17247.07335,3103.277084,-2.456107104,0.155380079,-15.80709132,2.78E-56,2.55E-54
WBGene00219949,F44E5.16,210.9923092,489.3197294,20.81522181,-4.440346669,0.280942265,-15.8051928,2.87E-56,2.61E-54
WBGene00017071,aagr-1,1365.012757,293.0172356,2091.033134,2.807751647,0.177715289,15.79915642,3.15E-56,2.86E-54
WBGene00017501,pud-3,3288.261317,811.5298566,4927.342147,2.580528574,0.163555976,15.77764774,4.43E-56,4.00E-54
WBGene00009130,F25H5.8,3355.438462,7261.64649,765.2002754,-3.20513244,0.203302373,-15.76534695,5.39E-56,4.83E-54
WBGene00004443,rpl-29,54015.79168,110992.133,16016.83221,-2.766282565,0.175623493,-15.75121027,6.74E-56,6.00E-54
WBGene00017881,asp-13,3471.90841,913.3037592,5189.462564,2.487040096,0.158836214,15.65789082,2.93E-55,2.60E-53
WBGene00019273,H43E16.1,418.1004324,67.87257645,654.9452503,3.22791483,0.206155844,15.65764409,2.95E-55,2.60E-53
WBGene00010901,M28.10,2173.045199,613.6898846,3207.677357,2.36894827,0.151556569,15.63078583,4.49E-55,3.94E-53
WBGene00001581,gfi-1,2549.440616,632.7110389,3816.716517,2.57087828,0.164963346,15.58454247,9.27E-55,8.08E-53
WBGene00045416,Y37H2A.14,566.2062993,107.0949349,873.1144296,2.992293474,0.192115893,15.57546032,1.07E-54,9.26E-53
WBGene00019213,H20E11.1,447.6725693,58.98504691,713.6109923,3.538431134,0.227345331,15.56412492,1.28E-54,1.10E-52
WBGene00001149,bcat-1,2568.087138,820.7966372,3734.470462,2.172696686,0.13972507,15.54979849,1.60E-54,1.37E-52
WBGene00008777,F13H10.6,2404.917802,4532.188848,983.0400075,-2.191365016,0.14123217,-15.51604716,2.70E-54,2.30E-52
WBGene00002064,iff-1,10494.61898,19413.07401,4553.804177,-2.080341739,0.134124433,-15.51053523,2.94E-54,2.49E-52
WBGene00009213,thn-1,158.2672458,378.2240888,7.235121161,-5.469932065,0.353648509,-15.46714301,5.78E-54,4.87E-52
WBGene00000783,cpr-3,1129.803311,293.9301793,1680.651333,2.495097332,0.161630352,15.43705933,9.22E-54,7.73E-52
WBGene00006927,vit-3,10800.2777,3590.493619,15598.39093,2.106991826,0.136503663,15.4354233,9.46E-54,7.89E-52
WBGene00002265,lec-2,8412.147887,15963.58373,3367.83606,-2.230389476,0.144974886,-15.38466104,2.07E-53,1.72E-51
WBGene00018729,F53A9.6,3641.9549,7052.02311,1362.677109,-2.354456458,0.153206638,-15.36784887,2.69E-53,2.22E-51
WBGene00000535,cpi-1,11369.68836,20601.25866,5215.643318,-1.971762836,0.12860754,-15.33162708,4.70E-53,3.86E-51
WBGene00008199,C49C3.9,522.0800402,81.0029271,824.7341259,3.299849541,0.215818418,15.28993479,8.92E-53,7.28E-51
WBGene00008002,nlp-48,152.0932344,366.3357285,11.50146644,-4.834779413,0.316222034,-15.28919208,9.03E-53,7.33E-51
WBGene00219886,F09E10.15,452.2865411,968.7874226,97.98190497,-3.258202372,0.213572898,-15.2556921,1.51E-52,1.22E-50
WBGene00022713,ZK355.3,149.3183203,356.3060428,7.268545231,-5.381330134,0.353022478,-15.2435906,1.82E-52,1.46E-50
WBGene00010484,dph-3,862.9492073,1786.66732,252.1518019,-2.795494186,0.183831771,-15.2068066,3.19E-52,2.55E-50
WBGene00044696,F52E1.14,6109.872894,1466.904283,9217.287267,2.627028367,0.173253036,15.16295721,6.22E-52,4.95E-50
WBGene00195240,Y39B6A.69,186.230156,3.594299242,311.4214715,6.078120711,0.401998887,15.11974514,1.20E-51,9.49E-50
WBGene00020736,T23F2.3,1757.380458,3379.515124,667.8801779,-2.322004752,0.154175806,-15.06075961,2.93E-51,2.31E-49
WBGene00009971,F53C11.1,456.2914614,70.2716866,721.922194,3.310615147,0.219939919,15.05236142,3.33E-51,2.61E-49
WBGene00016877,C52D10.3,251.1165558,25.54701535,396.9083131,3.874294267,0.257757856,15.03075142,4.62E-51,3.60E-49
WBGene00002059,ife-1,1637.279147,3089.462655,662.8961181,-2.205772905,0.14676569,-15.02921356,4.73E-51,3.66E-49
WBGene00012557,Y37D8A.19,30005.11269,64283.21331,7138.36264,-3.128231523,0.208442341,-15.00765875,6.54E-51,5.05E-49
WBGene00000169,aqp-1,532.2644262,1080.426739,170.127181,-2.641501287,0.176088234,-15.0010096,7.23E-51,5.55E-49
WBGene00017703,F22E5.1,171.3117385,3.73894596,284.3116404,5.905037692,0.394140706,14.98205489,9.62E-51,7.35E-49
WBGene00013236,Y56A3A.18,801.5164243,1617.809338,247.1764035,-2.683343567,0.179275717,-14.96769117,1.19E-50,9.08E-49
WBGene00017438,F13H8.5,302.3095618,46.2319646,473.4277359,3.304972841,0.221779284,14.90208098,3.19E-50,2.42E-48
WBGene00000301,cav-1,1635.39246,3151.820694,615.1157318,-2.339299668,0.157154982,-14.88530388,4.11E-50,3.09E-48
WBGene00003765,nlp-27,5589.157927,10617.8175,2227.876626,-2.237082298,0.150346577,-14.87950272,4.48E-50,3.35E-48
WBGene00012608,hphd-1,1059.212693,299.9700488,1561.734423,2.361749016,0.158756006,14.87659633,4.68E-50,3.49E-48
WBGene00014137,clec-187,274.162205,38.95596547,431.4681136,3.412204818,0.229867083,14.84425164,7.58E-50,5.62E-48
WBGene00001501,ftn-2,6224.880484,2179.266765,8915.784649,2.020832322,0.13672946,14.77978722,1.98E-49,1.46E-47
WBGene00007872,C32H11.9,374.4770269,0.15900535,630.4251547,9.154040901,0.620569657,14.75102882,3.03E-49,2.23E-47
WBGene00012257,lpr-4,391.7289424,61.23566847,606.7358477,3.25794566,0.222066496,14.67103648,9.88E-49,7.23E-47
WBGene00018730,F53A9.7,3017.725641,5801.762768,1151.689658,-2.314828328,0.157808635,-14.66857835,1.02E-48,7.46E-47
WBGene00019803,PDB1.1,775.4780069,201.5239388,1163.223771,2.506389775,0.171238211,14.63686027,1.63E-48,1.18E-46
