Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_PA14,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00020579,T19D12.4,8717.531073,1823.155763,15611.58344,2.982002434,0.156279966,19.08115615,3.62E-81,2.00E-78
WBGene00021805,Y53G8AM.5,272.4586654,11.24624572,533.6119293,4.84374624,0.262269614,18.46857578,3.70E-76,1.97E-73
WBGene00021464,ugt-31,1362.071178,342.3598948,2381.916614,2.704330686,0.148284626,18.23743134,2.60E-74,1.35E-71
WBGene00009431,dct-17,11466.27248,1092.822684,21839.74136,3.983709888,0.220269325,18.08563175,4.14E-73,2.07E-70
WBGene00011330,T01D3.6,26813.77469,6016.525515,47610.86181,2.867050062,0.159891423,17.93123116,6.73E-72,3.27E-69
WBGene00015574,irg-1,1489.110352,175.688689,2802.057494,3.717425926,0.208417762,17.83641607,3.69E-71,1.74E-68
WBGene00019738,clec-265,4252.726412,911.0985734,7594.78455,2.928761733,0.166295769,17.61176332,2.00E-69,9.20E-67
WBGene00015198,clec-2,375.4236839,4.285887049,746.5316277,5.578101648,0.32487679,17.1698989,4.46E-66,2.00E-63
WBGene00019779,endu-2,20121.56294,6286.591771,33957.01566,2.362983161,0.137954626,17.12869829,9.07E-66,3.95E-63
WBGene00008205,sams-1,7288.266091,12432.83057,2143.780135,-2.456050702,0.143760668,-17.0843022,1.94E-65,8.24E-63
WBGene00021580,clec-174,616.9811129,33.60369725,1200.721631,4.523136661,0.26516876,17.05757746,3.07E-65,1.27E-62
WBGene00015894,acdh-2,1159.412604,2218.381738,100.1089178,-4.049494743,0.238714879,-16.96372994,1.52E-64,6.15E-62
WBGene00005648,srp-7,13134.60694,4874.155385,21395.01678,2.084497956,0.123975395,16.81380373,1.93E-63,7.62E-61
WBGene00001155,ech-6,19723.15947,33772.44435,5673.955055,-2.486110897,0.149025308,-16.68247442,1.76E-62,6.77E-60
WBGene00008584,irg-4,14609.01894,1590.35487,27627.65997,3.773744964,0.227535966,16.58526798,8.91E-62,3.35E-59
WBGene00016577,clec-3,863.4380491,69.49997705,1657.385874,4.096694301,0.249200428,16.43935499,1.00E-60,3.68E-58
WBGene00019619,asp-14,30378.94762,7468.119583,53289.67374,2.715598441,0.165335829,16.42474265,1.27E-60,4.58E-58
WBGene00010055,F54D5.12,5349.408814,9076.404862,1622.353904,-2.399624883,0.1491207,-16.09182957,2.91E-58,1.03E-55
WBGene00000412,cdr-1,1890.384274,38.19471248,3742.778098,5.225276506,0.325286893,16.06359376,4.59E-58,1.58E-55
WBGene00009432,cld-9,2790.627662,697.8439057,4883.135089,2.685156773,0.167494801,16.03128432,7.73E-58,2.61E-55
WBGene00010034,F54B11.11,290.6287355,539.2901249,41.79504474,-3.397459134,0.220167637,-15.43123767,1.01E-53,3.34E-51
WBGene00014030,glb-1,240.7509529,35.19633901,446.3503606,3.374789522,0.218899473,15.41707469,1.26E-53,4.08E-51
WBGene00010125,dod-22,1431.377146,273.0251893,2589.576327,3.045024265,0.197737161,15.39935258,1.65E-53,5.26E-51
WBGene00007362,cyp-35C1,4435.706293,1092.278055,7779.200901,2.695900915,0.176129754,15.30633444,6.94E-53,2.17E-50
WBGene00021796,Y52E8A.3,666.1636434,61.76393728,1270.730023,3.884972691,0.254190393,15.28371175,9.82E-53,3.01E-50
WBGene00008988,F20G2.5,988.6270924,78.43859793,1898.726398,4.039829494,0.265759227,15.20108838,3.48E-52,1.05E-49
WBGene00003704,nhr-114,1844.092656,3484.881418,203.4054232,-3.698408083,0.243371975,-15.19652413,3.73E-52,1.10E-49
WBGene00003999,pgp-5,4152.682077,699.8301036,7605.257427,3.193501874,0.212670288,15.0162108,5.75E-51,1.67E-48
WBGene00017485,F15E6.4,149.7486127,294.6794432,5.1031907,-4.653367311,0.312034517,-14.91298897,2.71E-50,7.74E-48
WBGene00004052,parg-2,435.6311567,62.46829831,808.641348,3.381524495,0.227030423,14.89458747,3.57E-50,1.00E-47
WBGene00020674,T22B7.7,586.788912,1025.626634,147.6090676,-2.65551672,0.179828003,-14.76698107,2.39E-49,6.60E-47
WBGene00010660,K08D8.6,12993.76536,2746.979303,23240.25131,2.892744804,0.196900734,14.69138663,7.32E-49,1.99E-46
WBGene00015932,C17H12.6,1081.394583,41.60135962,2120.94084,4.605194192,0.31415448,14.6590117,1.18E-48,3.15E-46
WBGene00005002,spp-17,2249.487518,3794.220298,705.276434,-2.331222761,0.160637403,-14.5123285,1.01E-47,2.66E-45
WBGene00005444,srh-237,266.4963891,489.5152618,43.14202666,-3.218371805,0.223374063,-14.4079924,4.61E-47,1.19E-44
WBGene00021585,clec-74,249.8262534,6.564094932,493.1792991,4.744140393,0.329521195,14.39707208,5.40E-47,1.37E-44
WBGene00017764,F25A2.1,146.5295228,12.71311669,280.4845756,3.868326483,0.269451152,14.35631822,9.73E-47,2.44E-44
WBGene00016219,pals-24,1130.679735,443.9192977,1817.041536,1.972143495,0.14040636,14.04596985,8.15E-45,2.01E-42
WBGene00012583,clec-4,5349.211722,609.6422694,10088.7139,3.588450709,0.260276374,13.78707818,3.05E-43,7.42E-41
WBGene00020311,T07D3.9,386.0142292,643.4675807,128.7509549,-2.227760412,0.161608371,-13.78493201,3.14E-43,7.53E-41
WBGene00001736,grl-27,250.5085021,433.945324,66.92324313,-2.548201035,0.187156319,-13.615362,3.25E-42,7.67E-40
WBGene00010128,F55G11.8,2906.02632,768.5138419,5043.39044,2.559965506,0.190439507,13.44240775,3.41E-41,7.95E-39
WBGene00017962,fbxa-72,975.5225179,1696.171439,254.7394224,-2.577151256,0.191827955,-13.43470119,3.79E-41,8.70E-39
WBGene00020166,T02G5.7,5242.493235,7904.969836,2579.945434,-1.581555906,0.117937111,-13.41016324,5.27E-41,1.20E-38
WBGene00018724,F53A9.1,1562.703036,534.0246941,2591.362471,2.185457531,0.16298788,13.40871191,5.38E-41,1.20E-38
WBGene00015220,B0507.3,451.796382,151.0822642,752.6978674,2.218364149,0.165634611,13.39311959,6.63E-41,1.46E-38
WBGene00007153,clec-41,15752.88401,5644.788145,25861.18498,2.111889047,0.157806682,13.38276061,7.63E-41,1.66E-38
WBGene00000783,cpr-3,1751.289162,478.5608776,3024.313309,2.512934386,0.187858619,13.37673191,8.27E-41,1.78E-38
WBGene00010659,K08D8.5,1449.948046,488.3977151,2411.416591,2.206484892,0.165404385,13.33994197,1.36E-40,2.88E-38
WBGene00018643,drd-50,319.2532215,36.9775368,601.1832571,3.531204351,0.265293781,13.31054329,2.01E-40,4.21E-38
WBGene00019660,K11H12.4,1682.633101,468.6109291,2896.578824,2.483660905,0.187278924,13.26182814,3.85E-40,7.97E-38
WBGene00016027,C23H5.8,1625.694704,2675.255407,576.3292123,-2.125733122,0.161604299,-13.15393918,1.62E-39,3.30E-37
WBGene00016218,pals-23,853.8185688,342.8110137,1364.454812,1.926567424,0.147452745,13.06565994,5.17E-39,1.04E-36
WBGene00018647,F49F1.7,362.3502335,62.92539515,661.521419,3.078196294,0.237052667,12.98528439,1.48E-38,2.96E-36
WBGene00001156,ech-7,871.5696093,1470.883069,272.1971689,-2.31247519,0.179084067,-12.91279135,3.81E-38,7.51E-36
WBGene00016892,pgph-3,849.6206294,1479.772906,219.4206843,-2.579289012,0.200167655,-12.88564332,5.42E-38,1.06E-35
WBGene00009430,F35E12.6,14343.92373,3678.271337,25009.44306,2.588991672,0.201052923,12.87716502,6.05E-38,1.16E-35
WBGene00011487,T05E12.6,7480.021981,12739.11031,2220.656751,-2.385044307,0.185401701,-12.86419861,7.16E-38,1.36E-35
WBGene00003090,lys-1,35863.706,19979.70213,51748.07504,1.350196926,0.105148024,12.84091585,9.67E-38,1.82E-35
WBGene00010127,F55G11.7,79.3239568,1.93655027,156.7097466,4.370492502,0.342543886,12.75892718,2.78E-37,5.17E-35
WBGene00009824,gpdh-1,183.0714312,336.1982507,29.96507828,-3.132531853,0.246351534,-12.71569858,4.84E-37,8.90E-35
WBGene00011979,sysm-1,980.0963004,308.5065774,1652.057595,2.295125716,0.182504024,12.57575404,2.87E-36,5.22E-34
WBGene00018424,pgph-2,574.7328744,1032.63672,116.642405,-2.877620579,0.229262565,-12.55163737,3.89E-36,7.00E-34
WBGene00008493,F01D5.2,282.9356938,70.8324403,494.7611475,2.609148544,0.208109145,12.53740456,4.66E-36,8.29E-34
WBGene00004001,pgp-7,113.1428434,5.030215599,221.2760844,4.137454583,0.330127003,12.53291777,4.93E-36,8.68E-34
WBGene00044488,Y54G2A.45,3820.552585,981.6553761,6659.530294,2.57677465,0.205792118,12.52125043,5.71E-36,9.95E-34
WBGene00010126,F55G11.6,70.04625396,0.214158623,140.1164974,4.60712967,0.368119016,12.51532649,6.16E-36,1.06E-33
WBGene00014063,clec-143,140.0253465,20.49345354,259.6288552,3.224944751,0.261451039,12.33479415,5.88E-35,1.00E-32
WBGene00012664,Y39B6A.1,5246.811267,8709.799567,1784.087734,-2.175778693,0.177359249,-12.26763591,1.35E-34,2.28E-32
WBGene00018646,mul-1,338.6198233,54.28157315,622.6233421,3.126951011,0.256492567,12.19119545,3.46E-34,5.79E-32
WBGene00003474,mtl-2,1921.561997,3264.709556,578.6046621,-2.350202562,0.193125239,-12.16931857,4.53E-34,7.49E-32
WBGene00008678,stdh-2,80.32474841,0.775749029,159.8896088,4.412989377,0.366088631,12.05442891,1.84E-33,3.01E-31
WBGene00007807,C29F3.7,7907.67981,3394.348226,12420.74725,1.807185244,0.15000008,12.04789519,1.99E-33,3.23E-31
WBGene00008506,tkt-1,18410.26688,27309.19658,9511.898677,-1.486045398,0.124337917,-11.95166715,6.36E-33,1.02E-30
WBGene00022641,ZK6.6,82.63886373,161.6507772,3.666717529,-4.036861795,0.340816616,-11.84467426,2.29E-32,3.65E-30
WBGene00017719,ldp-1,4760.49829,7305.875438,2215.232717,-1.668943382,0.141750328,-11.77382379,5.33E-32,8.39E-30
WBGene00007866,C32H11.3,200.351672,26.76370341,373.978326,3.277293965,0.279428028,11.72857993,9.10E-32,1.41E-29
WBGene00009515,clec-170,568.9000957,852.1179237,285.7138367,-1.535521821,0.130918784,-11.72881213,9.07E-32,1.41E-29
WBGene00021337,Y34F4.2,66.84980455,128.244755,5.383459291,-3.664946109,0.313310736,-11.69748014,1.31E-31,2.01E-29
WBGene00009628,tatn-1,4798.885425,7121.985185,2475.871559,-1.486830589,0.127545119,-11.65729116,2.11E-31,3.20E-29
WBGene00008334,sdz-8,186.7788611,51.35786516,321.9726867,2.456356111,0.211746281,11.60046874,4.10E-31,6.11E-29
WBGene00045411,C25F9.11,247.4849459,40.94790687,453.8483865,3.056736596,0.263486979,11.60109167,4.07E-31,6.11E-29
WBGene00009518,clec-166,273.9314805,488.6472419,59.40720545,-2.757493196,0.237820073,-11.59487153,4.38E-31,6.47E-29
WBGene00077757,E02H4.7,321.915825,555.7928915,88.18110428,-2.463261387,0.212893865,-11.57037283,5.82E-31,8.53E-29
WBGene00001399,fat-7,1279.028771,2387.532782,170.2619341,-3.275705619,0.284216399,-11.52539275,9.83E-31,1.43E-28
WBGene00020169,mmaa-1,4188.088951,6381.279312,1994.629861,-1.626554993,0.141554707,-11.49064579,1.47E-30,2.12E-28
WBGene00012251,clec-49,559.6824601,843.0517568,276.3988177,-1.563425467,0.136341356,-11.46699364,1.93E-30,2.76E-28
WBGene00001753,gst-5,6023.334527,1035.154736,11011.62821,3.014661079,0.26313228,11.45682726,2.17E-30,3.07E-28
WBGene00010470,cdr-4,2074.871371,649.6484102,3500.002425,2.274676919,0.200975777,11.31816455,1.07E-29,1.50E-27
WBGene00008476,E03H4.8,1137.18622,403.7459301,1870.286358,2.093122841,0.185266326,11.29791303,1.34E-29,1.87E-27
WBGene00007872,C32H11.9,189.8660343,19.75178442,359.9762676,3.4497223,0.306490628,11.25555557,2.17E-29,3.00E-27
WBGene00021872,clec-85,2613.000982,1315.866815,3910.370214,1.526537931,0.136928505,11.14843054,7.29E-29,9.97E-27
WBGene00020747,T24A6.7,84.29807029,10.39673299,158.3268015,3.281690924,0.294746813,11.13393185,8.58E-29,1.16E-26
WBGene00016769,C49C8.5,3834.506261,1816.157526,5852.861473,1.632525635,0.147061415,11.10097869,1.24E-28,1.67E-26
WBGene00018970,clec-68,60.08427756,1.924424476,118.3606313,3.950684316,0.356015864,11.09693336,1.30E-28,1.73E-26
WBGene00011494,T05F1.9,159.53754,21.53704133,297.3338959,3.210057517,0.289614363,11.08390302,1.50E-28,1.99E-26
WBGene00019818,R02C2.7,126.202808,21.63144798,230.8442009,2.976347643,0.270554333,11.00092396,3.78E-28,4.97E-26
WBGene00000795,crn-2,1068.415819,569.4400177,1567.540793,1.423626352,0.129753326,10.97179085,5.22E-28,6.81E-26
WBGene00009215,thn-2,257.8964582,473.233817,42.70430892,-3.012706175,0.276186869,-10.90821655,1.05E-27,1.36E-25
WBGene00001398,fat-6,16827.91972,24887.21476,8768.468499,-1.463871254,0.134235768,-10.90522501,1.09E-27,1.40E-25
WBGene00017322,clec-160,831.7125346,1201.990496,461.211686,-1.349593746,0.124414892,-10.84752573,2.05E-27,2.61E-25
WBGene00015512,mthf-1,12538.31404,17978.13393,7098.959143,-1.310787373,0.121329386,-10.80354411,3.31E-27,4.18E-25
WBGene00002183,kat-1,7004.50326,9676.810563,4332.537001,-1.139703091,0.106183602,-10.73332478,7.10E-27,8.90E-25
WBGene00014136,ZK896.5,1002.432596,433.3694787,1571.205463,1.778672296,0.166502793,10.68253728,1.23E-26,1.53E-24
WBGene00019273,H43E16.1,3240.648444,1443.56889,5037.515831,1.729921238,0.162380429,10.65350823,1.68E-26,2.07E-24
WBGene00020594,ugt-10,52.27315186,1.547203924,103.0332054,3.857801702,0.362358296,10.64637334,1.81E-26,2.22E-24
WBGene00021178,Y9C9A.8,179.5351705,61.28070425,297.7322457,2.134235978,0.200602819,10.63911261,1.96E-26,2.38E-24
WBGene00007717,C25D7.5,618.4951454,283.1909794,953.481731,1.683227667,0.159093121,10.58014108,3.68E-26,4.45E-24
WBGene00006533,tba-7,407.5227014,157.4534209,657.7270551,1.950448575,0.186319425,10.46830506,1.21E-25,1.45E-23
WBGene00017041,D2007.1,234.1671298,96.37534475,371.9765354,1.852943299,0.177261078,10.45318759,1.42E-25,1.69E-23
WBGene00001158,ech-9,215.5582036,72.21560115,359.0702553,2.156473618,0.206400839,10.44798861,1.50E-25,1.77E-23
WBGene00002891,let-767,8225.765781,11549.29459,4902.343677,-1.211064255,0.116331426,-10.41046516,2.22E-25,2.61E-23
WBGene00000988,dhs-25,1325.578279,2038.564384,612.6015972,-1.666192685,0.160119072,-10.40596015,2.33E-25,2.71E-23
WBGene00003727,nhr-137,334.0970058,546.7518158,121.3646672,-2.038034548,0.197433071,-10.32266039,5.57E-25,6.44E-23
WBGene00014043,clec-58,40.12220358,0.214158477,80.24426676,3.923160032,0.383191241,10.23812554,1.34E-24,1.54E-22
WBGene00019146,H02F09.3,922.3713452,200.73087,1643.972616,2.682019019,0.26264936,10.2114051,1.76E-24,2.01E-22
WBGene00012518,comt-2,95.43463583,8.213065748,182.4943116,3.419116538,0.335553822,10.18947277,2.21E-24,2.50E-22
WBGene00008829,cyp-35D1,499.6966593,42.79211082,956.8569911,3.449306175,0.341109007,10.11203489,4.89E-24,5.50E-22
WBGene00012661,clec-163,45.50456065,0.777306345,90.20670628,3.800336773,0.376065978,10.10550541,5.22E-24,5.84E-22
WBGene00017467,F14F9.4,1435.166671,819.3856609,2050.858706,1.290568649,0.128420127,10.04958238,9.23E-24,1.02E-21
WBGene00002258,lbp-6,9005.988463,13075.45393,4936.420273,-1.365896266,0.135947628,-10.04722393,9.45E-24,1.04E-21
WBGene00009957,F53B2.8,3607.824819,1580.35346,5635.171283,1.746625368,0.175508597,9.951793782,2.48E-23,2.71E-21
WBGene00011799,T16G1.5,531.5781981,155.4042291,907.7664304,2.319570217,0.233809985,9.920749194,3.38E-23,3.68E-21
WBGene00020182,ugt-53,142.8509395,245.3144203,40.20187831,-2.364507073,0.238661463,-9.907368546,3.87E-23,4.18E-21
WBGene00009433,F35E12.9,1174.141568,515.7139888,1832.231567,1.740900609,0.176121567,9.884653189,4.85E-23,5.21E-21
WBGene00009396,clec-65,4255.832475,2628.338287,5883.673135,1.139206812,0.115519783,9.861573319,6.11E-23,6.48E-21
WBGene00012909,spds-1,992.365117,1537.546763,447.399637,-1.699185734,0.17229335,-9.86216669,6.07E-23,6.48E-21
WBGene00020237,phat-4,1093.1152,1534.902475,651.6594522,-1.207889945,0.122640565,-9.84902464,6.92E-23,7.30E-21
WBGene00016004,C18H9.6,2721.826238,840.5245163,4603.268851,2.246379424,0.228555694,9.828586548,8.48E-23,8.88E-21
WBGene00045416,Y37H2A.14,310.1088397,122.7339562,497.7105218,1.900802882,0.193416179,9.827527845,8.57E-23,8.92E-21
WBGene00044073,tag-244,583.2028071,248.9739522,917.1342335,1.784354438,0.181619912,9.824663072,8.82E-23,9.12E-21
WBGene00007873,dod-21,243.5034845,20.45312722,466.5918883,3.402832777,0.346502301,9.820519989,9.19E-23,9.44E-21
WBGene00002272,lec-9,9411.940201,5817.947641,13005.66354,1.13678842,0.116605782,9.748988428,1.86E-22,1.90E-20
WBGene00015759,C14C6.5,4580.882983,1726.536665,7435.525145,1.970073577,0.202567933,9.725495797,2.35E-22,2.38E-20
WBGene00016970,C56E6.2,562.7340108,913.5181506,212.0441304,-1.970264656,0.2026602,-9.722010819,2.43E-22,2.45E-20
WBGene00013901,ugt-16,2306.861558,555.4705796,4058.151928,2.540010457,0.261737485,9.704419911,2.89E-22,2.90E-20
WBGene00008936,papl-1,1739.860879,2483.682505,995.8113629,-1.283558791,0.132287977,-9.702762243,2.93E-22,2.93E-20
WBGene00016783,irg-2,228.1583244,94.43107009,361.6846355,1.827779664,0.189596579,9.640362041,5.40E-22,5.35E-20
WBGene00014135,ZK896.4,526.5358672,208.3654719,844.6467895,1.894725021,0.197705495,9.583572885,9.37E-22,9.23E-20
WBGene00009428,F35E12.4,249.2042275,49.29713057,448.9428977,2.730482563,0.285653074,9.558736833,1.19E-21,1.17E-19
WBGene00018535,F47B7.4,72.41995623,132.7856122,12.18121341,-2.872171992,0.300847033,-9.546951355,1.34E-21,1.30E-19
WBGene00008694,vwa-8,7055.146522,9749.454418,4360.890348,-1.135883938,0.119084244,-9.538490565,1.45E-21,1.40E-19
WBGene00009334,F32D8.12,2698.256497,4190.008827,1206.213906,-1.707070775,0.178980921,-9.537724859,1.46E-21,1.40E-19
WBGene00017734,F23C8.5,2466.592246,3484.971094,1448.653767,-1.234264144,0.129536171,-9.528335902,1.60E-21,1.53E-19
WBGene00008560,pho-13,1154.28879,1948.031301,360.3384378,-2.219845465,0.233175215,-9.520074683,1.73E-21,1.65E-19
WBGene00022642,lipl-5,4142.011926,6367.924744,1916.391414,-1.651689745,0.173516199,-9.518936893,1.75E-21,1.65E-19
WBGene00010303,cri-3,3730.081289,5249.463889,2211.087959,-1.216526584,0.127933356,-9.509064891,1.92E-21,1.81E-19
WBGene00017199,clec-45,54.03675501,3.095199511,105.0261858,3.444882522,0.362397457,9.505813185,1.98E-21,1.86E-19
WBGene00013073,hmit-1.1,1175.032051,2048.177563,301.8246843,-2.453964445,0.258806091,-9.481865114,2.50E-21,2.32E-19
WBGene00021518,hpo-6,7286.478134,2225.213607,12347.88841,2.245442433,0.237424325,9.457507922,3.15E-21,2.92E-19
WBGene00017166,aldo-2,13539.88895,18962.43755,8117.765656,-1.194107614,0.127058011,-9.398129312,5.55E-21,5.11E-19
WBGene00000114,alh-8,17803.61536,25034.5925,10573.20672,-1.212068909,0.129245336,-9.378047564,6.72E-21,6.15E-19
WBGene00021959,Y57E12AL.6,1487.955547,2013.022029,963.027948,-1.043827277,0.111508429,-9.360971974,7.90E-21,7.18E-19
WBGene00008341,ttr-44,2299.027202,3310.681219,1287.238745,-1.321361882,0.141428086,-9.342994851,9.36E-21,8.47E-19
WBGene00017060,D2063.1,687.0837496,219.9035472,1154.177767,2.179769542,0.23355563,9.332977947,1.03E-20,9.26E-19
WBGene00013654,Y105C5B.15,2440.174794,1337.712508,3542.903524,1.359644184,0.145742471,9.329086968,1.07E-20,9.55E-19
WBGene00011800,T16G1.6,416.3857008,168.9078324,663.6205776,1.850282765,0.199214125,9.287909512,1.57E-20,1.40E-18
WBGene00003511,mxl-3,2117.819306,3321.660615,913.7106868,-1.757739597,0.189295609,-9.285686073,1.61E-20,1.42E-18
WBGene00021350,Y37E3.8,30348.1461,43104.41967,17591.91614,-1.256680156,0.13589372,-9.247521946,2.30E-20,2.02E-18
WBGene00001397,fat-5,83.88639516,156.317156,11.58927113,-2.986603048,0.325181535,-9.184417717,4.14E-20,3.62E-18
WBGene00008492,F01D5.1,1664.947157,1092.744456,2237.042373,1.014653981,0.110526109,9.180219896,4.30E-20,3.75E-18
WBGene00011232,pck-2,37819.55446,52759.78941,22879.76239,-1.175238718,0.128523259,-9.144171499,6.01E-20,5.21E-18
WBGene00000977,dhs-14,706.1011776,1012.557263,399.8144764,-1.299337696,0.142176684,-9.138894347,6.31E-20,5.44E-18
WBGene00016450,clec-5,1355.471451,2027.00927,683.4278873,-1.502312485,0.165459297,-9.079649894,1.09E-19,9.34E-18
WBGene00017889,F28B3.10,1004.431966,1383.966925,624.8283731,-1.120858084,0.123474908,-9.077618289,1.11E-19,9.47E-18
WBGene00001427,fkb-2,2477.207018,3375.655686,1579.207006,-1.072852191,0.118297533,-9.069100301,1.20E-19,1.02E-17
WBGene00021248,Y22D7AL.10,2573.576726,3528.135421,1619.152241,-1.098756439,0.121212888,-9.064683299,1.25E-19,1.06E-17
WBGene00002025,hsp-60,14908.79467,21798.35627,8019.436023,-1.389996763,0.154375621,-9.00399142,2.18E-19,1.83E-17
WBGene00009187,F27D4.1,7472.460247,10376.59495,4568.666766,-1.153999528,0.128326561,-8.992678689,2.41E-19,2.02E-17
WBGene00008167,acox-1.5,2957.76694,1600.070509,4315.129602,1.379670668,0.153443974,8.991364284,2.44E-19,2.03E-17
WBGene00003958,pcp-3,8343.680568,10994.72835,5692.616581,-0.934202261,0.104140381,-8.970605372,2.95E-19,2.44E-17
WBGene00004000,pgp-6,2453.937744,922.9719073,3984.653782,1.950396044,0.217591776,8.963555894,3.14E-19,2.59E-17
WBGene00019645,swt-7,5753.060152,3044.654118,8461.173413,1.417153805,0.159252852,8.898765616,5.65E-19,4.63E-17
WBGene00012615,dct-16,19197.98565,24611.80796,13784.22404,-0.825528643,0.09296877,-8.879633906,6.71E-19,5.47E-17
WBGene00003162,mdh-2,17024.44504,23171.54581,10877.82463,-1.067116482,0.120385623,-8.864152193,7.71E-19,6.25E-17
WBGene00045457,F33H12.7,134.0382689,17.09185395,250.9801614,2.994049878,0.337898612,8.86079366,7.94E-19,6.41E-17
WBGene00044469,clec-173,2032.158441,1070.910379,2993.604017,1.423621562,0.161431502,8.818734518,1.16E-18,9.30E-17
WBGene00010408,mboa-2,2407.732288,3204.041897,1611.105335,-0.973524678,0.110841208,-8.783057235,1.59E-18,1.27E-16
WBGene00001243,elo-5,6231.819839,9311.56591,3151.624889,-1.492476075,0.170789834,-8.738670446,2.36E-18,1.88E-16
WBGene00021517,Y41D4B.15,84.76889362,12.34881936,157.2849287,2.881679645,0.329926347,8.734311968,2.45E-18,1.94E-16
WBGene00012923,fbxa-128,433.4643614,75.16559979,791.8416412,2.768566545,0.317074325,8.731601151,2.51E-18,1.98E-16
WBGene00013035,Y49E10.16,1443.158304,2016.353713,869.7805671,-1.179084907,0.135761019,-8.685003394,3.79E-18,2.97E-16
WBGene00021160,gba-4,1536.017576,2289.616053,781.9642942,-1.480204939,0.170603238,-8.676300361,4.09E-18,3.19E-16
WBGene00001755,gst-7,4334.807441,2019.623979,6650.096613,1.624489237,0.18786889,8.646930509,5.29E-18,4.11E-16
